plate,well,site,coordX,coordY,cell_id,distance
Plate1,r03c03,1,138.69262295081967,529.1229508196722,1.0,194.0382062086334
Plate1,r03c03,1,154.61196207148066,335.7388767323122,2.0,194.0382062086334
Plate1,r03c03,1,366.91382405745065,381.9796529024536,3.0,130.44617608124722
Plate1,r03c03,1,452.4325581395349,124.25767441860464,4.0,163.14398710276123
Plate1,r03c03,1,486.6966527196653,330.3242677824268,5.0,130.44617608124722
Plate1,r03c03,1,872.75173370319,243.40499306518723,8.0,136.8343951799183
Plate1,r03c03,1,946.0059445178337,358.9795244385733,10.0,136.8343951799183
Plate1,r03c03,1,948.4621276595744,110.0144680851064,11.0,87.06802630073736
