,plate,well,site,coordX,coordY,cell_id,distance
0,Plate1,r03c03,01,366.871921182266,371.77093596059115,0,378.71186357570457
0,Plate1,r03c03,01,873.7106184364061,245.1120186697783,3,133.76865724118798
0,Plate1,r03c03,01,944.5448154657294,358.58699472759224,5,133.76865724118798
0,Plate1,r03c03,01,949.0836734693878,109.88571428571429,6,86.89758528928971
